baseline,corrupted_baseline,requested_edges,edges,faithfulness
0.205078125,-0.2071533203125,0,0,-0.205810546875
0.205078125,-0.2071533203125,97,69,-0.07501220703125
0.205078125,-0.2071533203125,194,142,-0.062347412109375
0.205078125,-0.2071533203125,291,229,-0.025482177734375
0.205078125,-0.2071533203125,388,327,0.01971435546875
0.205078125,-0.2071533203125,485,417,0.047271728515625
0.205078125,-0.2071533203125,582,519,0.06024169921875
0.205078125,-0.2071533203125,679,609,0.034149169921875
0.205078125,-0.2071533203125,776,702,0.06280517578125
0.205078125,-0.2071533203125,812,742,0.061065673828125
0.205078125,-0.2071533203125,974,909,0.086669921875
0.205078125,-0.2071533203125,1136,1077,0.1014404296875
0.205078125,-0.2071533203125,1298,1234,0.067626953125
0.205078125,-0.2071533203125,1460,1395,0.087158203125
0.205078125,-0.2071533203125,1622,1553,0.09857177734375
0.205078125,-0.2071533203125,1624,1555,0.0958251953125
0.205078125,-0.2071533203125,1948,1861,0.046142578125
0.205078125,-0.2071533203125,2272,2208,0.0517578125
0.205078125,-0.2071533203125,2596,2547,0.07611083984375
0.205078125,-0.2071533203125,2920,2901,0.07305908203125
0.205078125,-0.2071533203125,3244,3223,0.10980224609375
0.205078125,-0.2071533203125,3249,3228,0.1142578125
0.205078125,-0.2071533203125,3898,3892,0.109619140625
0.205078125,-0.2071533203125,4547,4540,0.11456298828125
0.205078125,-0.2071533203125,5196,5188,0.1337890625
0.205078125,-0.2071533203125,5845,5837,0.1116943359375
0.205078125,-0.2071533203125,6494,6494,0.1387939453125
0.205078125,-0.2071533203125,6498,6498,0.1373291015625
0.205078125,-0.2071533203125,7143,7143,0.1700439453125
0.205078125,-0.2071533203125,7792,7792,0.1871337890625
0.205078125,-0.2071533203125,8441,8441,0.1678466796875
0.205078125,-0.2071533203125,9090,9090,0.1778564453125
0.205078125,-0.2071533203125,9739,9739,0.1956787109375
0.205078125,-0.2071533203125,9747,9747,0.19580078125
