baseline,corrupted_baseline,requested_edges,edges,faithfulness
6.125,-6.72265625,0,0,-6.72265625
6.125,-6.72265625,1,1,-6.72265625
6.125,-6.72265625,2,2,-6.7265625
6.125,-6.72265625,3,3,-5.28125
6.125,-6.72265625,3,3,-5.28125
6.125,-6.72265625,4,4,-3.94921875
6.125,-6.72265625,5,5,-2.916015625
6.125,-6.72265625,6,6,-2.3671875
6.125,-6.72265625,7,7,-2.806640625
6.125,-6.72265625,7,7,-2.806640625
6.125,-6.72265625,8,8,-2.302734375
6.125,-6.72265625,9,9,-1.9873046875
6.125,-6.72265625,10,10,-1.6162109375
6.125,-6.72265625,11,11,-1.33203125
6.125,-6.72265625,12,12,-1.126953125
6.125,-6.72265625,13,13,-0.6455078125
6.125,-6.72265625,14,14,-0.86962890625
6.125,-6.72265625,15,15,-0.6943359375
6.125,-6.72265625,30,30,1.0224609375
6.125,-6.72265625,45,45,2.640625
6.125,-6.72265625,48,48,2.677734375
6.125,-6.72265625,51,51,3.310546875
6.125,-6.72265625,54,54,3.37890625
6.125,-6.72265625,57,57,3.88671875
6.125,-6.72265625,60,60,4.01171875
6.125,-6.72265625,60,60,4.01171875
6.125,-6.72265625,63,63,4.08203125
6.125,-6.72265625,66,66,4.19140625
6.125,-6.72265625,69,69,4.8046875
6.125,-6.72265625,72,72,4.8125
6.125,-6.72265625,75,75,5.7578125
6.125,-6.72265625,75,75,5.7578125
