baseline,corrupted_baseline,requested_edges,edges,faithfulness
3.970703125,0.11737060546875,0,0,0.11968994140625
3.970703125,0.11737060546875,97,76,0.8916015625
3.970703125,0.11737060546875,194,166,1.4208984375
3.970703125,0.11737060546875,291,264,1.669921875
3.970703125,0.11737060546875,388,348,1.595703125
3.970703125,0.11737060546875,485,437,2.376953125
3.970703125,0.11737060546875,582,526,2.3984375
3.970703125,0.11737060546875,679,623,2.48828125
3.970703125,0.11737060546875,776,741,2.748046875
3.970703125,0.11737060546875,812,776,2.873046875
3.970703125,0.11737060546875,974,931,3.0078125
3.970703125,0.11737060546875,1136,1085,3.05078125
3.970703125,0.11737060546875,1298,1240,2.8828125
3.970703125,0.11737060546875,1460,1408,2.892578125
3.970703125,0.11737060546875,1622,1562,3.16015625
3.970703125,0.11737060546875,3947,3925,3.345703125
3.970703125,0.11737060546875,7118,7118,3.953125
3.970703125,0.11737060546875,10289,10289,3.986328125
3.970703125,0.11737060546875,13460,13460,3.984375
3.970703125,0.11737060546875,16631,16631,3.998046875
3.970703125,0.11737060546875,19802,19802,3.958984375
3.970703125,0.11737060546875,22973,22973,3.94921875
3.970703125,0.11737060546875,26144,26144,3.966796875
3.970703125,0.11737060546875,29315,29315,3.966796875
3.970703125,0.11737060546875,32486,32486,3.96875
